브랜드,상품명,할인율,가격,링크번호,Tag_name,Tag
미나브,코튼 솔리드 모크넥 니트 [4 COLOR],51%,"38,710원",3578051,3,1
펀치라인,캘리 스톤 피그먼트 워싱팬츠 4종 블랙 ISLP6225,23%,"49,800원",3617170,3,2
언탭트 스튜디오,오버사이즈 헤비 더플 롱 코트 네이비,40%,"105,000원",4541334,3,3
