브랜드,상품명,할인율,가격,링크번호,Tag_name,Tag
무신사 스탠다드,아란 케이블 크루 넥 니트 [블랙],35%,"51,890원",2815339,2,1
에즈카톤,아토 다트 와이드 데님팬츠 블랙 MMLP6767,31%,"54,900원",3821467,2,2
노이어,헤비 울 더블 브레스티드 하프 코트 (네이비),25%,"255,000원",4456530,2,3
